,mean
1,428.7960595
2,403.8362335
3,408.9557532
4,413.612449
5,426.4426437
6,405.4266473
7,399.7344312
8,439.0807704
9,420.4372776
10,424.8137518
11,385.4211124
12,417.9237134
13,430.6407027
14,410.9075167
15,426.215267
16,410.3721289
17,434.6546347
18,427.1417438
19,407.3418381
20,399.3828352
21,401.9117178
22,402.4720767
23,426.5192513
24,406.592257
25,381.5185768
26,437.443538
27,426.743265
28,463.8937068
29,448.9273194
30,460.8297046
31,461.271691
32,429.1808406
33,423.9483995
34,443.7325218
35,480.578632